Line Item,FY2022,FY2023,FY2024
Cash in Bank,295000,338000,401000
A/R,562192,630411,724521
Finished Goods Inventory,792986,853027,858822
Prepaid Insurance,21600,23600,25800
Equipment Net of Depreciation,1140000,1205000,1268000
Intangible Assets,64000,58000,52000
A/P,376668,431912,445315
Accrued Payroll,70200,76700,83850
Sales Tax Payable,13500,14750,16125
Current Maturities of Long-Term Debt,95000,98000,102000
Notes Payable Long Term,540000,442000,340000
Member Distributions,140000,165000,205000
Member Equity,1780410,2044676,2342853
