Line Item,FY2022,FY2023,FY2024
Total Income,5400000,5900000,6450000
Cost of Revenue,3618000,3941200,3870000
Payroll Expense,918000,1003000,1096500
Owner's Compensation,180000,260000,340000
Lease Expense,97200,106200,116100
Sales and Marketing,54000,59000,64500
Legal and Accounting,27000,29500,32250
Litigation Settlement,0,180000,0
Office Expense,162000,177000,193500
Contract Labor,29700,32450,35475
Depreciation Expense,81000,88000,97000
Interest Exp,38000,33000,27000
Interest Income,3000,4000,5000
Provision for Income Taxes,5400,5900,6450
